Index,mag,re_arc,nser,ba,ellip,re_pix,PA
0.0,18.099371,0.36811194,3.9620857,0.6268962,0.37310377,6.1351986,159.10643
1.0,22.495827,0.6933092,0.89587855,0.63269424,0.36730573,11.555153,31.47727
2.0,20.372782,0.66970015,3.8006742,0.7738172,0.22618282,11.16167,43.056564
3.0,21.927643,1.3138311,2.2646809,0.633881,0.36611903,21.897186,31.43475
4.0,21.891914,0.1958066,1.3898716,0.6461908,0.35380918,3.2634432,168.0506
5.0,20.002861,0.8709343,0.9952562,0.4177037,0.5822963,14.515572,100.66971
6.0,21.285175,1.1637487,5.598725,0.5980592,0.40194085,19.395813,67.92073
7.0,22.170782,0.63567823,0.61635214,0.5525526,0.44744745,10.594637,20.553896
8.0,21.140429,1.5855535,4.584054,0.45725778,0.5427422,26.425892,17.658318
9.0,22.247152,0.3404933,5.012168,0.7386431,0.26135686,5.6748886,105.31519
10.0,20.088852,0.4027918,1.3549428,0.63505757,0.3649424,6.7131968,69.67762
11.0,21.848202,0.19172616,0.78731084,0.6551928,0.3448072,3.195436,79.7104
12.0,22.46996,1.2791221,2.471198,0.47491148,0.52508855,21.318703,116.76805
13.0,20.667051,1.0886978,3.5804625,0.36929905,0.63070095,18.144962,41.48456
14.0,20.777142,0.19294971,3.39304,0.3449838,0.65501624,3.2158287,85.143135
15.0,21.140158,1.6792929,4.2332053,0.58780235,0.41219765,27.988214,34.969414
16.0,20.01966,0.12371901,4.3711095,0.608038,0.391962,2.0619836,78.72506
17.0,21.766294,0.39712733,4.6404533,0.6292691,0.3707309,6.6187887,50.37001
18.0,22.60311,0.31038228,2.6164804,0.6605007,0.33949926,5.173038,65.625496
19.0,20.656395,0.86954266,5.406611,0.21623246,0.7837675,14.492378,145.70877
20.0,21.212389,0.6780556,1.1257526,0.52440375,0.47559628,11.300926,8.629451
21.0,20.862616,0.1766738,2.6883128,0.2514954,0.7485046,2.9445634,75.29987
22.0,22.161528,0.1060823,6.111245,0.36964732,0.6303527,1.7680383,168.17468
23.0,21.855873,0.3663082,5.892426,0.20394114,0.79605883,6.105137,26.805252
24.0,22.006245,0.1560838,3.3024228,0.33134943,0.66865057,2.6013968,118.14061
25.0,20.389597,0.56016386,1.7408555,0.2931663,0.70683366,9.336064,39.630928
26.0,21.215385,0.18976086,4.2239547,0.332512,0.66748804,3.162681,170.86061
27.0,22.285488,0.4008313,0.37980446,0.6379406,0.3620594,6.680522,42.141556
28.0,20.236645,0.8660791,4.4294105,0.69710183,0.30289814,14.434651,17.872229
29.0,20.592966,0.18651663,6.1875777,0.62688106,0.37311894,3.1086106,123.40476
30.0,22.467224,0.62363577,2.7018635,0.36293188,0.63706815,10.3939295,155.8364
31.0,20.703999,0.2871188,0.86889845,0.5240407,0.4759593,4.785313,1.8224736
32.0,20.92117,0.21774894,2.6324406,0.40239245,0.59760755,3.629149,119.54449
33.0,20.06666,0.54548496,3.0401292,0.57050055,0.42949945,9.091415,138.82349
34.0,22.207195,0.92156005,5.1325173,0.44171673,0.55828327,15.359335,30.333948
35.0,22.585752,0.77950233,3.2830105,0.3037087,0.6962913,12.991706,150.98352
36.0,20.450989,1.2301402,4.2042756,0.70402056,0.29597944,20.502337,25.133438
37.0,20.38384,0.12013818,0.69923776,0.34191227,0.65808773,2.0023031,85.414276
38.0,21.985575,0.48606858,4.5061984,0.52399296,0.47600704,8.101143,0.36397308
39.0,21.670595,0.2799101,5.1536727,0.5979113,0.4020887,4.665168,144.50035
40.0,20.352179,1.3856199,3.8401313,0.7829691,0.2170309,23.093664,168.79044
41.0,20.803064,0.13569441,1.8869891,0.639635,0.36036497,2.2615736,64.562004
42.0,22.72581,1.4107212,0.6277549,0.61209255,0.38790745,23.51202,115.666855
43.0,20.690428,0.19319916,2.8505964,0.2848992,0.71510077,3.219986,115.71187
44.0,21.54174,0.2992294,4.0455227,0.7631595,0.23684049,4.9871573,55.705006
45.0,21.821493,0.17667072,2.1605477,0.597852,0.402148,2.944512,24.977947
46.0,20.078714,0.18416214,3.7187068,0.69542015,0.30457988,3.069369,13.723256
